"year","di_id","pov_survey"
2009,"ET",1
2006,"GA",0.5
2007,"GA",0.5
2008,"GA",0.5
2009,"GA",0.5
2010,"GA",0.5
2011,"GA",0.5
2012,"GA",0
2013,"GA",0
2014,"GA",0
2015,"GA",0
2016,"GA",0
2004,"GA",0.5
2005,"GA",0.5
2018,"GA",0
2017,"GA",0
2018,"GM",0.5
2005,"GM",1
2007,"GM",1
2008,"GM",1
2009,"GM",1
2006,"GM",1
2012,"GM",0.5
2013,"GM",0.5
2014,"GM",0.5
2015,"GM",0
2016,"GM",0
2017,"GM",0
2004,"GM",1
2010,"GM",0.5
2011,"GM",0.5
2006,"GH",0.5
2007,"GH",0.5
2004,"GH",0
2005,"GH",0
2010,"GH",0.5
2011,"GH",0
2008,"GH",0.5
2009,"GH",0.5
2013,"GH",0
2014,"GH",0
2015,"GH",0.5
2016,"GH",1
2017,"GH",0.5
2018,"GH",1
2012,"GH",0
2004,"GN",0.5
2007,"GN",0
2008,"GN",0.5
2005,"GN",0.5
2006,"GN",0
2011,"GN",0.5
2012,"GN",0.5
2013,"GN",0.5
2014,"GN",0.5
2015,"GN",0.5
2016,"GN",0.5
2017,"GN",0.5
2018,"GN",0.5
2010,"GN",0.5
2009,"GN",0.5
2004,"GW",0.5
2005,"GW",0
2008,"GW",0
2009,"GW",0
2010,"GW",0.5
2011,"GW",0.5
2012,"GW",0.5
2013,"GW",0.5
2014,"GW",0
2015,"GW",0
2016,"GW",0
2017,"GW",0
2018,"GW",0.5
2006,"GW",0
2007,"GW",0
2004,"IQ",0
2005,"IQ",0
2006,"IQ",0
2009,"IQ",1
2010,"IQ",1
2011,"IQ",1
2012,"IQ",1
2013,"IQ",1
2014,"IQ",1
2015,"IQ",1
2016,"IQ",1
2017,"IQ",1
2018,"IQ",0.5
2008,"IQ",1
2007,"IQ",0.5
2005,"KE",0.5
2006,"KE",0.5
2004,"KE",0.5
2009,"KE",0.5
2010,"KE",0.5
2007,"KE",1
2008,"KE",1
2013,"KE",0.5
2014,"KE",0.5
2011,"KE",0.5
2012,"KE",0.5
2016,"KE",0.5
2017,"KE",0
2018,"KE",0
2015,"KE",0.5
2011,"LS",0
2004,"LS",0.5
2005,"LS",0.5
2006,"LS",0.5
2007,"LS",0
2008,"LS",0
2012,"LS",0.5
2013,"LS",0.5
2014,"LS",0.5
2015,"LS",0
2016,"LS",0
2017,"LS",0
2018,"LS",0.5
2009,"LS",0
2010,"LS",0
2005,"LR",0
2006,"LR",0
2004,"LR",0
2009,"LR",0
2010,"LR",0
2007,"LR",0
2008,"LR",0
2014,"LR",0.5
2011,"LR",0.5
2012,"LR",0.5
2013,"LR",0.5
2018,"LR",1
2015,"LR",0.5
2016,"LR",1
2017,"LR",1
2004,"LY",0
2005,"LY",0
2008,"LY",0
2009,"LY",0
2006,"LY",0
2007,"LY",0
2012,"LY",0
2013,"LY",0
2014,"LY",0
2015,"LY",0
2016,"LY",0
2017,"LY",0
2018,"LY",0
2010,"LY",0
2011,"LY",0
2005,"MG",1
2006,"MG",1
2007,"MG",1
2018,"MG",1
2009,"MG",1
2010,"MG",1
2011,"MG",1
2008,"MG",1
2013,"MG",1
2014,"MG",1
2015,"MG",1
2012,"MG",1
2004,"MG",1
2017,"MG",1
2016,"MG",1
2005,"MW",0.5
2006,"MW",1
2007,"MW",1
2009,"MW",1
2010,"MW",1
2011,"MW",1
2008,"MW",1
2013,"MW",1
2014,"MW",1
2015,"MW",1
2012,"MW",1
2004,"MW",0
2018,"MW",1
2016,"MW",1
2017,"MW",1
2004,"ML",1
2005,"ML",1
2006,"ML",1
2007,"ML",1
2008,"ML",1
2009,"ML",1
2010,"ML",1
2013,"ML",1
2014,"ML",1
2015,"ML",1
2016,"ML",1
2017,"ML",1
2018,"ML",1
2012,"ML",1
2011,"ML",1
2018,"MR",0.5
2005,"MR",1
2006,"MR",1
2009,"MR",1
2010,"MR",1
2011,"MR",1
2012,"MR",0.5
2013,"MR",0.5
2014,"MR",0.5
2015,"MR",0.5
2016,"MR",0.5
2017,"MR",0.5
2004,"MR",1
2007,"MR",1
2008,"MR",0.5
2004,"MU",0
2005,"MU",0
2008,"MU",0.5
2009,"MU",0.5
2010,"MU",0.5
2011,"MU",1
2012,"MU",1
2013,"MU",0.5
2014,"MU",1
2015,"MU",1
2016,"MU",1
2017,"MU",1
2018,"MU",1
2006,"MU",0
2007,"MU",0
